tweet_id,user_community,user_active_status,retweet_count_metadata,quote_count_metadata,retweet_count_by_community_0,quote_count_by_community_0,retweet_count_by_community_1,quote_count_by_community_1,retweet_count_by_community_2,quote_count_by_community_2,retweet_count_by_community_3,quote_count_by_community_3,retweet_count_by_community_4,quote_count_by_community_4,retweet_count_by_suspended_users,quote_count_by_suspended_users
1321602671921537032,1,deleted,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321602686148554752,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321602695753424898,2,active,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1321602694251950082,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321602718037921794,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321602716620173315,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321602727621910530,2,suspended,9,0,0,0,0,0,8,0,0,0,0,0,2,0
1321602732659077120,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321602754360520705,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321602776082849792,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321602792700715009,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321602795611561987,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321602799260606465,0,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321602810991972353,1,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321602812397211648,2,active,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1321602823209930752,2,deleted,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321602833855205376,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321602837235654660,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321602839085346816,2,deleted,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321602844491870208,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321602856596742148,2,active,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1321602865740369920,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321602875592724483,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321602897302425600,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321602901182156804,1,deleted,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321602915543453697,2,active,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1321602917439283201,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321602924812881920,1,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321602931146280965,2,suspended,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1321602934287654913,2,active,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1321602938003955717,1,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321602944291106821,2,deleted,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321602952759398400,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321602953095061509,2,deleted,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321602953577451526,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321602954080751616,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321602954575622153,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321602954730872832,,deleted,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321602960300924928,2,active,6,0,0,0,0,0,5,0,0,0,0,0,1,0
1321602972971900939,2,deleted,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321602977325600769,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321602985504497666,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321602992714428417,0,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
