tweet_id,user_community,user_active_status,retweet_count_metadata,quote_count_metadata,retweet_count_by_community_0,quote_count_by_community_0,retweet_count_by_community_1,quote_count_by_community_1,retweet_count_by_community_2,quote_count_by_community_2,retweet_count_by_community_3,quote_count_by_community_3,retweet_count_by_community_4,quote_count_by_community_4,retweet_count_by_suspended_users,quote_count_by_suspended_users
1321965084827156480,0,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321965104569765888,2,deleted,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321965120227102720,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321965134097444864,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321965154523926528,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321965171045101568,1,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321965177131196418,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321965210761048070,,deleted,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321965243074043904,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321965260056809473,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321965286900334599,1,active,15,2,0,0,1,0,13,1,0,0,0,0,8,1
1321965306152054785,1,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321965314842787841,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321965345314234368,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321965361151897600,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321965379414052864,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321965414818205699,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321965418404143106,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321965450742403073,2,active,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1321965460863156224,0,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321965468731777031,2,active,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1321965521760251904,0,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321965563434790912,0,active,5,1,4,1,0,0,0,0,0,0,0,0,0,0
1321965566068813824,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321965568405180417,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321965571701792768,,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321965576739123211,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321965577129259009,,active,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1321965628178137088,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321965656032661508,2,active,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1321965666514075649,0,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321965673271095298,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321965709115584515,0,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321965711577677826,2,active,11,0,0,0,0,0,11,0,0,0,0,0,8,0
1321965750811283457,2,active,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1321965794918584322,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321965799691702272,2,deleted,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321965844025532416,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321965847821213696,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321965858311360513,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321965865630314497,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321965877538021377,2,active,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1321965907611176961,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321965942134337537,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321965944890077184,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321965961994555394,0,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966010321219585,2,deleted,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966016369434625,0,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966048518709248,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966092928110592,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966149945405442,1,active,45,0,0,0,0,0,33,0,0,0,0,0,11,0
1321966154336870400,0,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966171105755137,1,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966254236848128,0,active,7,2,6,0,0,0,1,0,0,0,0,0,0,1
1321966259974656001,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966271949344768,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966272616288256,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966271659876353,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966299526803457,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966317453348865,0,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966320074850305,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966341272776707,1,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966341516124160,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966344435388417,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966367181078533,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966385057030145,2,deleted,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966402740387842,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966419643408384,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966470918713346,2,deleted,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966469895380999,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966511083253760,1,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966515198054401,1,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966524425474049,0,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966533392932866,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966546613231616,0,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966563889590273,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966568524386304,2,deleted,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1321966572957818881,1,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966582294142977,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966579907653632,2,active,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1321966617610186752,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966637206114304,0,active,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1321966643363414018,2,deleted,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966673008578560,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966688871583749,0,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966713034985473,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966763567910913,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966776821915650,,active,63,11,0,0,0,0,0,0,0,0,0,0,0,0
1321966817594757120,0,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966818316165126,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966833918861314,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966844325089281,2,suspended,593,87,0,0,4,7,554,73,0,0,0,0,189,23
1321966900818096128,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966903749971969,2,suspended,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1321966921777090561,0,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966961434132482,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966964110200840,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321966989192081408,,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321967000135061506,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321967019051282432,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321967028543115267,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321967029168066562,0,active,3,0,3,0,0,0,0,0,0,0,0,0,0,0
1321967038257074178,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321967051066531840,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321967062126768130,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321967076874047488,2,active,8,8,0,0,0,0,1,0,0,0,0,0,1,0
1321967075238334465,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321967088572006400,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321967093001166848,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321967118162812932,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321967136026349568,0,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321967168561401856,0,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321967171573030913,0,active,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1321967173875638272,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321967189570822144,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321967229647253505,0,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321967237327179776,2,deleted,2,0,0,0,0,0,2,0,0,0,0,0,1,0
1321967233313198080,0,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321967251205971968,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321967264862773249,,deleted,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321967272311795714,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321967301432922112,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321967310979145730,2,active,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1321967320198164482,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321967348279087107,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321967354478268416,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321967376922005505,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321967387307114501,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321967409079689216,2,suspended,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1321967424023990279,2,active,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1321967464117317635,0,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321967466600230912,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321967493439660032,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321967547546292229,,deleted,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321967553112145922,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321967623303815169,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321967687354994688,0,active,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1321967696024657923,2,active,2,2,0,0,0,0,2,2,0,0,0,0,0,0
1321967704392290304,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321967739720863744,0,active,115,76,2,2,0,0,0,0,0,0,0,0,0,0
1321967736835219458,2,deleted,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321967790006411264,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1321967818036846592,1,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
