tweet_id,user_community,user_active_status,retweet_count_metadata,quote_count_metadata,retweet_count_by_community_0,quote_count_by_community_0,retweet_count_by_community_1,quote_count_by_community_1,retweet_count_by_community_2,quote_count_by_community_2,retweet_count_by_community_3,quote_count_by_community_3,retweet_count_by_community_4,quote_count_by_community_4,retweet_count_by_suspended_users,quote_count_by_suspended_users
1320878148750331904,2,active,2,0,0,0,0,0,1,0,0,0,0,0,0,0
1320878246083334146,2,active,2,0,0,0,0,0,1,0,0,0,0,0,0,0
1320880952923607041,1,active,14,2,0,0,0,0,1,0,0,0,0,0,0,0
1320881993333280768,0,active,235,10,1,0,0,0,0,0,0,0,0,0,0,0
1320882034219339776,0,active,114,3,23,3,0,0,2,0,0,0,0,0,2,0
1320882447064702983,,active,3,2,0,0,0,0,0,0,0,0,0,0,0,0
1320882629760069633,2,deleted,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1320882809951686658,2,active,18,3,0,0,0,0,1,0,0,0,0,0,0,0
1320883568445427713,2,active,10,0,0,0,0,0,1,0,0,0,0,0,0,0
1320883759244365825,2,active,2,0,0,0,0,0,1,0,0,0,0,0,0,0
1320885362479292417,2,active,17,5,0,0,0,0,2,0,0,0,0,0,0,0
1320885888419827717,,active,4,1,0,0,0,0,1,0,0,0,0,0,0,0
1320886083274637313,2,active,2,0,0,0,0,0,1,0,0,0,0,0,1,0
1320886104732651520,2,suspended,24,1,0,0,0,0,3,0,0,0,0,0,2,0
1320886378255843328,1,active,374,44,0,0,2,2,24,9,0,0,0,0,8,4
1320886410530955264,2,active,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1320888009538084864,2,active,7,0,0,0,0,0,3,0,0,0,0,0,2,0
1320888043537113088,2,suspended,25,7,0,0,0,0,2,1,0,0,0,0,2,1
1320888114257252352,2,suspended,23,0,0,0,0,0,6,0,0,0,0,0,2,0
1320888494462439424,2,suspended,18,2,0,0,0,0,2,0,0,0,0,0,1,0
1320888582324801536,0,active,164,15,7,0,0,0,0,0,0,0,0,0,0,0
1320888623496134656,0,active,18,2,2,0,0,0,0,0,0,0,0,0,0,0
1320888893772861441,1,active,2,0,0,0,0,0,2,0,0,0,0,0,1,0
1320890301783986177,2,active,2,0,0,0,0,0,1,0,0,0,0,0,1,0
1320890557410009088,2,suspended,6,0,0,0,0,0,2,0,0,0,0,0,0,0
1320890743121080320,2,active,1,0,0,0,0,0,2,0,0,0,0,0,0,0
1320891293564866567,2,deleted,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1320892407643160578,2,active,3,0,0,0,0,0,1,0,0,0,0,0,0,0
1320892477394591744,2,active,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1320892566980726786,0,active,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1320893075447705600,,active,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1320893974081658884,2,suspended,8,0,0,0,0,0,1,0,0,0,0,0,0,0
1320894171503161346,2,active,22,1,0,0,0,0,2,0,0,0,0,0,0,0
1320894365557002241,1,suspended,89,11,0,0,0,0,11,0,0,0,0,0,7,0
1320894713562603525,2,active,5,3,0,0,0,0,1,2,0,0,0,0,0,0
1320895029339107328,2,active,39,4,0,0,0,1,1,0,0,0,0,0,0,0
1320895266657021957,,active,8,0,0,0,0,0,0,0,0,0,0,0,0,0
1320895647298498560,2,deleted,4,0,0,0,0,0,1,0,0,0,0,0,0,0
1320895675614269440,0,active,2,0,1,0,0,0,1,0,0,0,0,0,0,0
1320895843998859264,1,active,2119,111,0,0,16,1,166,0,0,0,0,0,71,0
1320895909409021953,,active,50,5,0,0,0,0,7,0,0,0,0,0,0,0
1320895979986526209,2,suspended,21,4,0,0,0,0,3,1,0,0,0,0,0,0
1320896044197171203,2,active,1,0,0,0,0,0,1,0,0,0,0,0,0,0
