tweet_id,user_community,user_active_status,retweet_count_metadata,quote_count_metadata,retweet_count_by_community_0,quote_count_by_community_0,retweet_count_by_community_1,quote_count_by_community_1,retweet_count_by_community_2,quote_count_by_community_2,retweet_count_by_community_3,quote_count_by_community_3,retweet_count_by_community_4,quote_count_by_community_4,retweet_count_by_suspended_users,quote_count_by_suspended_users
1322327486512865280,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322327490984136704,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322327492380819456,0,active,41,3,6,0,0,0,0,0,0,0,0,0,0,0
1322327505068527617,,deleted,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322327523682930689,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322327520730140674,1,active,11,0,0,0,2,0,6,0,0,0,0,0,0,0
1322327521036218368,0,deleted,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322327538677522432,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322327561213562880,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322327594751111168,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322327601365590022,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322327621502410755,2,active,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1322327646240444420,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322327647251148800,2,deleted,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322327660228272128,2,active,3,0,0,0,0,0,3,0,0,0,0,0,3,0
1322327666314244096,0,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322327673717379075,1,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322327672953937920,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322327676758249472,0,active,2,0,2,0,0,0,0,0,0,0,0,0,0,0
1322327720878104577,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322327766365138944,0,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322327768198205454,2,deleted,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322327776721014785,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322327778318938112,0,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322327784493109249,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322327812032860165,2,suspended,3,0,0,0,0,0,3,0,0,0,0,0,1,0
1322327858547691521,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322327873571692546,1,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322327901103161344,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322327909751836674,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322327953024393216,2,active,2,0,0,0,0,0,2,0,0,0,0,0,0,0
1322327960498671616,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322327984280342528,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322327989590261760,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322328013292347393,0,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322328018430398466,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322328054979584011,1,suspended,11,1,0,0,0,0,5,0,0,0,0,0,2,0
1322328072582963200,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322328086277427200,1,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322328088009568257,0,active,3,1,1,0,0,0,0,0,0,0,0,0,0,0
1322328102001934339,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322328142137143297,0,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322328172373942279,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322328177339899905,2,deleted,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322328255509135360,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322328286479982593,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322328299398332416,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322328311679385603,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322328340519374849,1,active,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1322328357560848384,0,deleted,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322328370940502017,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322328375214616578,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322328412145414144,0,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322328418567016448,2,active,2,0,0,0,0,0,2,0,0,0,0,0,1,0
1322328420295073797,1,active,19,3,0,0,4,1,12,1,1,0,0,0,3,0
1322328436975800321,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322328461650939905,1,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322328469288767490,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322328495079522305,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322328522480848899,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322328626281488384,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322328649073332226,0,active,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1322328660725141505,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322328693767839748,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322328732019773441,0,deleted,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322328736516157442,2,active,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1322328736830808070,0,active,65,10,3,0,0,0,0,0,0,0,0,0,0,0
1322328738521075713,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322328750902681600,1,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322328766710837248,0,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322328803033509888,0,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322328816606470145,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322328820439896065,2,deleted,1,0,0,0,0,0,1,1,0,0,0,0,0,0
1322328832678879234,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322328835778629632,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322328858813702149,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322328869282537472,2,deleted,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1322328935640768512,2,active,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1322328939935641601,2,suspended,5,0,0,0,0,0,5,0,0,0,0,0,2,0
1322328946642317312,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322328953911169024,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322328999666876418,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322329045229514752,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322329047347666945,,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322329068931584007,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322329088074407936,2,deleted,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322329143615361024,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322329171767533575,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322329191170428932,2,active,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1322329208169877509,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322329208601784320,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322329209335939072,2,suspended,2,0,0,0,0,0,2,0,0,0,0,0,2,0
1322329267787554818,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322329289434583041,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322329290936111107,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322329298280341509,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322329300352249858,0,active,5,1,5,0,0,0,0,0,0,0,0,0,0,0
1322329366949433344,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322329366462869504,1,active,5,0,0,0,3,0,2,0,0,0,0,0,0,0
1322329375333883905,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322329418312916992,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322329451519184901,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322329504140976128,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322329507899068421,1,active,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1322329509694263296,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
