retweeted_id,user_id
1319772291941662720,1274320717279113218
1317947608204111872,101643135
1319764824620937217,3885363618
1319736767398830085,180513350
1319789612462735360,3184565258
1319288477624586242,834078098
1319767609076817920,756972232690110464
1319764824620937217,2920547039
1319715187423911939,724329610196881408
1319764824620937217,1083111824403431424
1317947608204111872,38021811
1319778974176743424,27285857
1319789612462735360,38265863
1319687883737853952,184130555
1319767350762061824,967757723327582208
1319789812103131139,1315321136171888641
1319698688764239873,3060132797
1319779820839096323,464189079
1318707124072026112,730074470010982402
1319307838561394691,751552860303683584
1319693171513765888,15290628
1319789612462735360,1289956734883246080
1319753892339605506,1243594076928249858
1319755424464158720,2927783778
1319789612462735360,75010295
1319692300675477504,184130555
1319715187423911939,1101420988296716288
1319789612462735360,948676817744990208
1318639881120182272,1083763778691481603
1319753892339605506,56491860
1319764824620937217,50177875
1319790872498757632,1271279731829354496
1319690603215478784,41093722
1319789612462735360,56491860
1319755424464158720,204598799
1317947608204111872,695726939622019072
1317947608204111872,2155733157
1319790872498757632,1231646494257819649
1317947608204111872,1345295474
1317947608204111872,1325848574
1317947608204111872,1438491456
1319787032512811010,2716564652
1317947608204111872,2837300288
1319789612462735360,37070272
1319789612462735360,3548005397
1319753892339605506,935326817824645121
1319764824620937217,18269496
1319753892339605506,976681201
1319789612462735360,1902293946
1319789612462735360,1245687443048857600
1319739222564155392,1047676035175600129
1319764824620937217,1005508878136692736
1319789612462735360,373033271
1319736767398830085,32663555
1317947608204111872,1168146657529098241
1319706353292791810,439616973
1319789612462735360,469284342
1319738244645486593,836346872
1319755424464158720,800577336
1319753892339605506,994645129884467201
1319789612462735360,1064682397684441088
1319755424464158720,139721173
1319753892339605506,104773317
1319767609076817920,83979815
1319660550087954437,233778668
1319753892339605506,839529596353720324
1317947608204111872,893264170321235968
1319789908903550976,875102174824542208
1319789612462735360,850207260840042496
1319715187423911939,3248410062
1319737341099954176,411073348
1319789612462735360,26635242
1317716960726089728,292491926
1314274677897007104,45450902
1319083033425858569,1046587447
1319772295741739011,2854152665
1319736767398830085,877889653164134400
1319764824620937217,2063181
1319736767398830085,4876370137
1319772291941662720,1229130534053433345
1317947608204111872,1933966231
1317947608204111872,23271300
1319791481272651776,1092978546967015424
1319755424464158720,1175021297111359488
1319790872498757632,729807702
1319780973182070784,913517954
1319764824620937217,3287902975
1317947608204111872,933566750
1319779820839096323,68889823
1319755424464158720,37219727
1319790872498757632,1251323149368668161
1319698688764239873,533556771
1319753892339605506,785951114696855552
1319715187423911939,903953910
1319789612462735360,319657994
1319790872498757632,135145088
1319769398262071300,2872001079
1317981622411677697,1100501463003000832
1319715187423911939,827406768187723777
1319790872498757632,38363418
1317947608204111872,985940785513279488
1319764824620937217,774069888281415681
1319668026195791872,2443862069
1319725352717959169,1051581693897904128
1319501116741095424,948812118337318913
1319773331638292480,40755803
1319789612462735360,42343330
1319791043664031745,878352777055002624
1319784808223002624,2615818511
1319337485248364546,68971294
1319755424464158720,24748172
1319736767398830085,172099674
1319779820839096323,954846333852114944
1319767609076817920,42311925
1319764824620937217,3387451032
1319764824620937217,26493904
1319779820839096323,593892397
1319736767398830085,1027288191223717889
1319737075625824257,24005777
1319764824620937217,49922681
1319790872498757632,3452391747
1319764824620937217,842493042754043910
1319753892339605506,275655762
1319764824620937217,97727672
1319764824620937217,21788444
1319755424464158720,349237559
1319767609076817920,4062490634
1319789612462735360,1253856688991539201
1319789908903550976,875433552380391425
1319698688764239873,2830716721
1319307838561394691,783542988
1319755424464158720,797250788825382912
1319789612462735360,959261020547158016
1319790872498757632,714511124838780928
1319790872498757632,1164166803020554240
1319753892339605506,998359018581118977
1319715187423911939,1049403240
1319739575670099969,64914038
1319789612462735360,1345295474
1319706353292791810,53589935
1319755424464158720,35591749
1319785282544291843,344373492
1319764824620937217,531478369
1319755424464158720,394926038
1319764769117700097,823611186004508672
