tweet_id,user_community,user_active_status,retweet_count_metadata,quote_count_metadata,retweet_count_by_community_0,quote_count_by_community_0,retweet_count_by_community_1,quote_count_by_community_1,retweet_count_by_community_2,quote_count_by_community_2,retweet_count_by_community_3,quote_count_by_community_3,retweet_count_by_community_4,quote_count_by_community_4,retweet_count_by_suspended_users,quote_count_by_suspended_users
1322689823212212227,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322689842552197125,0,active,2,0,2,0,0,0,0,0,0,0,0,0,0,0
1322689865302085638,4,active,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1322689872243601409,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322689874022027264,0,active,15,0,15,0,0,0,1,0,0,0,0,0,1,0
1322689885099229186,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322689887368347655,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322689897682161665,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322689901494734849,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322689921744818182,0,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322689929650995200,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322689930099855360,,deleted,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322689933274996737,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322689940799574017,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322689953394950144,,active,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1322689955383173126,0,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322689976040067072,0,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322689979412176897,1,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322689982960599040,2,deleted,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322689987918385153,0,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690005287002112,2,deleted,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690008478851078,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690018368987136,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690040439492610,2,active,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1322690085809201152,1,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690098249363457,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690102825521157,0,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690103542714368,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690107766439937,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690113260806149,,deleted,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690113726521344,2,deleted,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690122207371272,0,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690130193256448,1,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690130306650113,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690135977283584,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690136824565763,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690147692040197,1,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690172199133184,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690180269051904,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690191530840067,2,active,1,0,0,0,0,0,1,1,0,0,0,0,1,0
1322690194928259074,2,active,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1322690215983697925,,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690226851057665,2,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690248913133570,2,suspended,0,0,0,0,0,0,2,0,0,0,0,0,1,0
1322690251031273480,2,suspended,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1322690256181829637,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690267221270528,1,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690269322616834,0,active,2,0,2,0,0,0,0,0,0,0,0,0,0,0
1322690281502842880,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690294693928960,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690304156250115,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690304722432006,2,suspended,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1322690332409044992,0,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690335135457280,1,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690347651092480,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690355075158018,2,deleted,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690363136503808,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690367431577603,1,suspended,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690367502897153,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690391255273478,2,active,1,1,0,0,0,0,1,1,0,0,0,0,1,0
1322690393683755016,0,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690398934851586,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690422125322242,0,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690438361395205,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690466580582400,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690471462948867,0,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690471995400193,1,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690498969161731,0,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690502265884677,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690511266861063,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690521765171201,2,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690523379892225,2,suspended,3,1,0,0,0,0,3,1,0,0,0,0,0,0
1322690520662052864,,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690525003157504,0,active,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1322690527708565505,2,active,2,0,0,0,0,0,2,0,0,0,0,0,0,0
