user_id,user_community,user_active_status,q_anon_tweet_ids,q_anon_retweeted_ids,q_anon_terms_in_description
308279712,2,active,"['1324196923201519616', '1324936652096217088', '1324478520274358272']",['1331422242719232004'],[]
1255760803,2,active,['1323934126148378627'],[],[]
1320496382575169537,,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
1087027035862642690,2,suspended,[],[],"['qanon', 'awake', 'savethechildren']"
363731709,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
148481568,2,active,[],"['1333896531590656001', '1333900943423905794']",[]
987432153901395968,1,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
265047760,2,active,[],"['1333167789822119938', '1334710445068996608']",[]
1214738503952715776,,active,[],[],['savethechildren']
1098711389655482368,2,active,[],[],"['wga', 'wwg']"
1297373007229464582,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
1332741471494090752,2,active,['1332758150542471168'],[],[]
1205462611082534912,0,active,[],[],['qanon']
1260819218884370432,,active,[],[],"['wga', 'wwg1wga', 'wwg']"
1284729545128542208,1,active,[],[],['awake']
1276150833026084864,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
1215672160469078016,2,active,[],[],"['wga', 'qanon', 'wwg1wga', 'wwg']"
1266380726963847168,2,active,[],['1328634645408321536'],[]
872451410025213952,2,suspended,[],[],"['awake', 'thegreatawakening', 'greatawakening']"
951256942038732801,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
1128047497568509955,1,active,[],['1326851533368156171'],[]
68931944,,active,[],[],"['wga', 'wwg1wga', 'wwg']"
1086049976097128449,,active,[],[],"['wga', 'wwg1wga', 'wwg']"
39157157,,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
1227843968844599296,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
1159523831230410754,2,active,[],[],['savethechildren']
1271172049881489411,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
17207687,2,active,[],['1337197712211644418'],[]
1330955428440764422,2,suspended,['1333167830322262016'],[],[]
1257152307898318849,2,suspended,[],[],"['wga', 'qanon', 'wwg1wga', 'wwg']"
818116667351957504,1,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
1280651747287904256,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
119210534,1,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
50927030,2,active,[],['1329919280855408641'],[]
2914076951,2,suspended,[],['1331787439094996992'],[]
766071834005663745,1,active,[],['1326851533368156171'],[]
629251775,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
1245134256868859905,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
781008165169143808,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
2305481636,,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
965736442675826688,2,active,[],['1331787439094996992'],[]
559114415,,active,[],[],"['wga', 'wwg1wga', 'wwg']"
559628052,2,deleted,[],['1329919280855408641'],[]
1241052772683874305,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
869428395754520576,2,active,['1326090573665738752'],[],[]
1300246066789408768,2,deleted,[],[],['awake']
798716586454609920,2,active,[],['1333892457688395776'],[]
963030464985468928,2,active,[],['1327708822262124544'],[]
1067933136762195968,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
1278125117298573312,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
2938529827,2,active,[],['1329919280855408641'],[]
275535750,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
731232223416946688,2,suspended,[],[],"['wga', 'qanon', 'wwg1wga', 'wwg']"
57115071,2,active,['1324193260768759810'],[],[]
802942962921418752,2,deleted,[],[],"['wga', 'wwg1wga', 'wwg']"
188803735,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
409480772,2,suspended,[],['1333289036857925632'],[]
2184958895,1,active,[],[],"['wga', 'qanon', 'wwg1wga', 'wwg']"
1148688990649966592,,active,[],['1329919280855408641'],[]
1258568531114934272,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
842376384,,suspended,['1327757527082217472'],[],"['wga', 'qanon', 'wwg1wga', 'wwg']"
1242619440841265152,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
1015346644345184257,2,suspended,[],[],['qanon']
997140671441047553,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
818473848622284801,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
2263085608,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
145106875,,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
1063943012571594753,2,active,[],['1329919280855408641'],"['wga', 'wwg']"
1375906628,2,active,[],[],"['wga', 'wwg1wga', 'awake', 'wwg', 'thegreatawakening', 'thestorm', 'greatawakening']"
86816944,2,active,[],['1329919280855408641'],[]
77910622,2,suspended,[],[],"['wga', 'wwg1wga', 'wwg']"
