user_id,user_community,user_active_status,closeness_centrality_detractor_cluster,closeness_centrality_promoter_cluster,retweet_count_by_community_0,quote_count_by_community_0,retweet_count_by_community_1,quote_count_by_community_1,retweet_count_by_community_2,quote_count_by_community_2,retweet_count_by_community_3,quote_count_by_community_3,retweet_count_by_community_4,quote_count_by_community_4,retweet_count_by_suspended_users,quote_count_by_suspended_users
8065982,0,suspended,,,0,0,0,0,0,0,0,0,0,0,0,0
8114732,1,suspended,,,0,0,0,0,0,0,0,0,0,0,0,0
8164432,2,suspended,,,0,0,0,0,3,0,0,0,0,0,3,0
8227502,,deleted,,,0,0,0,0,0,0,0,0,0,0,0,0
8233702,2,suspended,,,0,0,0,0,0,0,0,0,0,0,0,0
8348052,,active,,,0,0,0,0,0,0,0,0,0,0,0,0
8390162,,deleted,,,0,0,0,0,0,0,0,0,0,0,0,0
8524102,2,deleted,,,0,0,0,1,26,3,0,0,0,0,7,2
8537762,,deleted,,,0,0,0,0,0,0,0,0,0,0,0,0
8566162,2,suspended,,,0,0,0,0,1,0,0,0,0,0,1,0
8607212,2,suspended,,,0,0,0,0,1,1,0,0,0,0,0,0
8839122,2,suspended,,,0,0,0,0,1,0,0,0,0,0,0,0
8949282,0,suspended,,,0,0,0,0,0,0,0,0,0,0,0,0
9020412,2,suspended,,,0,0,0,0,0,0,0,0,0,0,0,0
9145682,2,suspended,,,0,0,0,0,1,1,0,0,0,0,0,0
9232922,0,suspended,,,2,0,0,0,0,0,0,0,0,0,1,0
